,Tag_Id,dominant_topic,Id,Topics,Tags,Department
1371,1371,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1372,1372,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1373,1373,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1374,1374,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1375,1375,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1376,1376,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1377,1377,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1378,1378,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1379,1379,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1380,1380,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1381,1381,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1382,1382,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
